,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid,flux,timedays,simulated_flux,simulated_mag,original_mag
82,793110400000661,48223755,2458236.7396744494,58236.2375579,19.5334435,0.0958284289,0,zg,226.8302561,55.7472659,0.791999996,-0.119999997,20180428237523,793,0xa,0x4,20.2000008,26.2008877,0.0331421308,-0.0522856936,3.76496209e-05,30,1.22000003,2,0.055798509739126353,58236.2375579,0.055798509739126353,19.533443499999997,19.533443499999997
83,793110400000661,48233627,2458236.838387808,58236.3362731,19.626791,0.10285639,0,zg,226.8299554,55.7472583,0.495999992,0.0350000001,20180428336262,793,0xa,0x4,20.0300007,26.2252388,0.0380616672,-0.0135527719,5.62348105e-05,30,1.07599998,2,0.051201607961952035,58236.3362731,0.051201607961952035,19.626791000000004,19.626791000000004
84,793110400000661,48233768,2458236.839799882,58236.3376852,19.3674545,0.0843733177,0,zg,226.8302569,55.7472148,0.652999997,-0.0920000002,20180428337639,793,0xa,0x4,20.0699997,26.2218933,0.0399914496,-0.0203198809,5.80347696e-05,30,1.07500005,3,0.06501569359305649,58236.3376852,0.06501569359305649,19.3674545,19.3674545
85,1827101200004651,48235099,2458236.853109833,58236.3509954,19.528429,0.0818977803,0,zg,226.8302452,55.747175,0.880999982,-0.00499999989,20180428350972,1827,0x1,0x2,20.1399994,26.2128906,0.0352864824,-0.00371753448,4.24305726e-05,30,1.10399997,2,0.05605681259130003,58236.3509954,0.05605681259130003,19.528428999999996,19.528428999999996
86,1827101200004651,48235144,2458236.8535612314,58236.3514468,19.4736023,0.0790307745,0,zg,226.8302314,55.7471026,0.375999987,-0.0680000037,20180428351435,1827,0x1,0x2,20.2900009,26.2120667,0.0381929055,-0.00541288871,4.51054075e-05,30,1.10399997,2,0.05896021791610085,58236.3514468,0.05896021791610085,19.473602300000003,19.473602300000003
87,793110400000661,48236630,2458236.8684220286,58236.3663079,19.3780003,0.0850621462,0,zg,226.8301602,55.747322,0.861999989,0.0890000015,20180428366285,793,0xa,0x4,20.1700001,26.2324848,0.0379623584,-0.0147834951,5.05103017e-05,30,1.07799995,2,0.06438725049928869,58236.3663079,0.06438725049928869,19.378000300000004,19.378000300000004
88,793110400000661,48239166,2458236.893780355,58236.3916667,19.5972042,0.100582652,0,zg,226.8300674,55.7472037,0.838999987,-0.270999998,20180428391655,793,0xa,0x4,20.1000004,26.2346916,0.0381864682,-0.0216896478,5.1160092e-05,30,1.09599996,2,0.052616059504094315,58236.3916667,0.052616059504094315,19.5972042,19.5972042
89,793110400000661,48245115,2458236.9532699077,58236.4511574,19.4319592,0.0886686444,0,zg,226.8301387,55.7471386,0.630999982,-0.0900000036,20180428451146,793,0xa,0x4,20.2999992,26.2285328,0.0356459059,-0.0323855989,3.87177388e-05,30,1.20099998,2,0.06126554764944115,58236.4511574,0.06126554764944115,19.4319592,19.4319592
90,793110400000661,48246966,2458236.971776539,58236.4696644,19.8591652,0.122202985,0,zg,226.8300801,55.7472217,0.63499999,-0.261000007,20180428469653,793,0xa,0x4,20.2099991,26.2057438,0.0356057696,-0.0235695094,4.06042927e-05,30,1.25600004,2,0.04133652077519661,58236.4696644,0.04133652077519661,19.8591652,19.8591652
91,793110400000661,48330993,2458237.8120265254,58237.3099306,19.6655445,0.105899714,0,zg,226.8307004,55.7471281,0.414999992,-0.233999997,20180429309907,793,0xa,0x4,19.8600006,26.0599117,0.0369069204,-0.029066829,6.06974609e-05,30,1.08800006,2,0.04940628508284258,58237.3099306,0.04940628508284258,19.665544500000003,19.665544500000003
